,id,asin,description,title,price,imUrl,brand,category1,category2,profit,cp
46,15529,B07JF16ZTR,Collar neckline front button placketsleevelessfront pleat pockets on both sides above the knee regular fit,AND Women's A-Line Mini Dress,799,https://images-na.ssl-images-amazon.com/images/I/91bH-VkcEaL._UL1500_.jpg,And,Clothing,Women,349,450
47,15587,B07CNZX7LG,"White midi dress with lace panels, gathered scoop neckline, thin adjustable straps and attached inner.",AND Women's A-Line Knee-Long Dress,1499,https://images-na.ssl-images-amazon.com/images/I/715pRW1oRwL._UL1500_.jpg,And,Clothing,Women,392,1107
48,15635, B07CNYP3K1,Round neckline three-quarter sleeves pockets on both sides back button closure regular fit midi length,AND Women's A-Line Knee-Long Dress,1349,https://images-na.ssl-images-amazon.com/images/I/71QFkyhtieL._UX466_.jpg,And,Clothing,Women,661,688
49,15695,B07M6FCB45,"Give unique collection to your wardrobe casuals with a stylish polo neck t-shirt which have very stylish contrast collar and cuffs. Down collar, half sleeves and solid color.",Fila Men's Solid Regular fit T-Shirt,899,https://images-na.ssl-images-amazon.com/images/I/81wALzikcaL._UL1500_.jpg,Fila,Clothing,Men,119,780
50,15705,B07MKYCFM7,FILA t-shirt makes you feel more easy and comfort. Attractive collection t-shirt makes you look smarter. Wear with love and feel the comfort of FILA t-shirt.,Fila Men's Solid Regular fit T-Shirt,799,https://images-na.ssl-images-amazon.com/images/I/710CKgM%2BJbL._UL1500_.jpg,Fila,Clothing,Men,3,796
51,15763,B07MKYCKG1,FILA t-shirt makes you feel more easy and comfort. Attractive collection t-shirt makes you look smarter. Wear with love and feel the comfort of FILA t-shirt.,Fila Men's Solid Regular fit T-Shirt,799,https://images-na.ssl-images-amazon.com/images/I/71wMOk8TUJL._UL1500_.jpg,Fila,Clothing,Men,148,651
52,15843,B076JGZR9R,Solid Regular Fit T-Shirt,Puma Men's Solid Regular Fit T-Shirt,579,https://images-na.ssl-images-amazon.com/images/I/71ygO38MHFL._UL1500_.jpg,Puma,Clothing,Men,215,364
53,18777,B07C93Y2LP,Printed Regular Fit T-Shirt,Puma Men's Printed Regular Fit T-Shirt,553,https://images-na.ssl-images-amazon.com/images/I/81GRRtZjpVL._UL1500_.jpg,Puma,Clothing,Men,238,315
54,18839,B07BNVZG34,Printed Regular Fit T-Shirt,Puma Men's Printed Regular Fit T-Shirt,443,https://images-na.ssl-images-amazon.com/images/I/81jzz%2ByQz7L._UL1500_.jpg,Puma,Clothing,Men,128,315
55,19139,B07CCPK1HK,Printed Regular Fit T-Shirt,Puma Men's Printed Regular Fit T-Shirt,519,https://images-na.ssl-images-amazon.com/images/I/81JHTMmsXiL._UL1500_.jpg,Puma,Clothing,Men,80,439
56,216,B07C93Y2N6,India slub v-neck tee puma black.,Puma Men's Printed Regular Fit T-Shirt,519,https://images-na.ssl-images-amazon.com/images/I/81RT7-HUlgL._UL1500_.jpg,Puma,Clothing,Men,50,469
57,349,B00W6TP27E,"Fabric Details: 80% Cotton, 20% Polyester Super Combed Cotton Rich fabric Comfort Fit Deep neck line and armhole for extra comfort All over tonal graphic Authentic Jockey logo label detailing to be worn as Sportswear, Loungewear and Leisurewear.",Jockey Men's Cotton T-Shirt,305,https://images-na.ssl-images-amazon.com/images/I/71lo1Apr1tL._UL1500_.jpg,Jockey,Clothing,Men,1,304
58,837,B07D3NZR9S,This is very good designed V-neck T-shirt. Made from Combed Cotton.,Jockey Men's T-Shirt(AM50-01),415,https://images-na.ssl-images-amazon.com/images/I/81zWSgymIkL._UL1500_.jpg,Jockey,Clothing,Men,56,359
59,11767,B01LB526Q8,Jockey Men's Cotton T-Shirt,Jockey Men's Cotton T-Shirt,849,https://images-na.ssl-images-amazon.com/images/I/811AbJZ%2BgEL._UL1500_.jpg,Jockey,Clothing,Men,200,649
60,11776,B01LB509EO,Jockey Men's Cotton T-Shirt,Jockey Men's Cotton T-Shirt,399,https://images-na.ssl-images-amazon.com/images/I/91Et%2B%2BY8gyL._UL1500_.jpg,Jockey,Clothing,Men,87,312
61,12224,B071RTFNN9,Round Neck Cotton T-Shirt,Jockey Men's Round Neck Cotton T-Shirt,498,https://images-na.ssl-images-amazon.com/images/I/81Kc91hkW3L._UL1500_.jpg,Jockey,Clothing,Men,100,398
62,12809,B01LB4X8RU,Jockey Men's Cotton T-Shirt,Jockey Men's Cotton T-Shirt,380,https://images-na.ssl-images-amazon.com/images/I/81Hwo1YU4iL._UL1500_.jpg,Jockey,Clothing,Men,97,283
63,12869,B01LB4YOBO,Men's Cotton Polo T-Shirt,Jockey Men's Cotton Polo T-Shirt,765,https://images-na.ssl-images-amazon.com/images/I/81aEIeYVUML._UL1500_.jpg,Jockey,Clothing,Men,29,736
64,12927,B07MM3W4WF,Reversible shirt in norse blue and maroon colour. Throw it on or wear it inside out. Switch between looks this season with the levi's reversible collection.,Levi's Men's Checkered Regular fit Casual Shirt,2999,https://images-na.ssl-images-amazon.com/images/I/81tuawsH-uL._UL1500_.jpg,Levis,Clothing,Men,501,2498
65,12986,B07DR499WL, This button-up staple has a classic look that works with just about any denim in your closet.,Levi's Men's Checkered Slim Fit Casual Shirt,1399,https://images-na.ssl-images-amazon.com/images/I/81IfZRIp-BL._UL1500_.jpg,Levis,Clothing,Men,504,895
66,13044,B07F5QVKS5,Solid Slim Fit Casual Shirt,Levi's Men's Solid Slim Fit Casual Shirt,1029,https://images-na.ssl-images-amazon.com/images/I/81GwAoQoJCL._UL1500_.jpg,Levis,Clothing,Men,267,762
67,13064,B07F5QT9V1,Checkered Slim Fit Casual Shirt,Levi's Men's Checkered Slim Fit Casual Shirt,1083,https://images-na.ssl-images-amazon.com/images/I/81XkU0Hi0QL._UL1500_.jpg,Levis,Clothing,Men,440,643
68,13122,B07MS9VWFF,All over printed textured shirt.,Lee Men's Printed Slim fit Casual Shirt,2199,https://images-na.ssl-images-amazon.com/images/I/81eqt30YM3L._UL1500_.jpg,Lee,Clothing,Men,1024,1175
69,17746,B07MFB2KJD,Y/d Check shirt.,Lee Men's Checkered Slim fit Casual Shirt,1999,https://images-na.ssl-images-amazon.com/images/I/81VO8puKy2L._UL1500_.jpg,Lee,Clothing,Men,690,1309
70,18461,B07DMZ1R3H,"Lee men's blue, blended, solid, long sleeves shirts.",Lee Men's Solid Slim Fit Casual Shirt,934,https://images-na.ssl-images-amazon.com/images/I/81cc1CXZaIL._UL1500_.jpg,Lee,Clothing,Men,424,510
71,18519,B07DMTGH41,"Lee men's navy blue, cotton, checked, long sleeves shirts.",Lee Men's Checkered Slim Fit Casual Shirt,1199,https://images-na.ssl-images-amazon.com/images/I/817DRTLfjhL._UL1500_.jpg,Lee,Clothing,Men,3,1196
72,20468,B07DQZQLX8,Printed Slim Fit Casual Shirt,Levi's Men's Printed Slim Fit Casual Shirt,1099,https://images-na.ssl-images-amazon.com/images/I/91gS7bNSeaL._UL1500_.jpg,Levis,Clothing,Men,138,961
