,id,asin,description,title,price,imUrl,brand,category1,category2,cp,profit,link
17,5143,B07D78MT3N,Women's dresses indigo/cream stripe ribbed knit dress.,Forever 21 Women's A-Line Knee Long Dress,909,https://images-na.ssl-images-amazon.com/images/I/810-jv6xAXL._UL1500_.jpg,Forever21,Clothing,Women,826,83,https://www.amazon.in/dp/B07D78MT3N
18,7878,B07D7D2BDY,Women's jeans - jeans black skinny.,Forever 21 Women's Skinny Fit Jeans,643,https://images-na.ssl-images-amazon.com/images/I/A1XpFz6qkdL._UL1500_.jpg,Forever21,Clothing,Women,496,147,https://www.amazon.in/dp/B07D7D2BDY
19,960,B07H9DYTLJ,"Women's Black, High Rise, Light Fade, Ankle Length, Jeans",Lee Women's Skinny Jeans,909,https://images-na.ssl-images-amazon.com/images/I/71Jq60yUZLL._UL1500_.jpg,Lee,Clothing,Women,705,204,https://www.amazon.in/dp/B07H9DYTLJ
20,1532,B07G9Z5YZG,Lee Cooper Women's Skinny Jeans (LCJS93406_Dark Indigo_36),Lee Cooper Women's Skinny Jeans,1099,https://images-na.ssl-images-amazon.com/images/I/81o0iYM3uLL._UL1500_.jpg,Lee,Clothing,Women,832,267,https://www.amazon.in/dp/B07G9Z5YZG
21,1690,B07H9QGG7X,"Women's Blue, High Rise, Ankle Length, Jeans",Lee Women's Skinny Jeans,899,https://images-na.ssl-images-amazon.com/images/I/71JMit2BFRL._UL1500_.jpg,Lee,Clothing,Women,449,450,https://www.amazon.in/dp/B07H9QGG7X
22,2990,B075HVHTTG,Riders by Lee Indigo Women's Performance Capri W/Knit Waist,Riders by Lee Indigo Women's Performance Capri W/Knit Waist,1960,https://images-na.ssl-images-amazon.com/images/I/81GBIMUz-QL._UY550_.jpg,Lee,Clothing,Women,918,1042,https://www.amazon.in/dp/B075HVHTTG
23,6931,B079RZMKVH,"Put an elegant look by wearing this unique western wear collection from the house of Zink London. Made to accentuate any body type, it will give you that extra oomph and make you stand out wherever you go wearing this. The product material is also sure to keep you comfortable throughout the day. Club it with contrasting pumps and minimal fashion accessories, and of course, don't forget to wear your pretty smile!","Zink London Women's Wrap Skirt (SK00013_M, Black, Medium)",809,https://images-na.ssl-images-amazon.com/images/I/61B6T4JnjaL._UL1499_.jpg,zink,Clothing,Women,407,402,https://www.amazon.in/dp/B079RZMKVH
24,1396,B06W9NPC7C,"Put an elegant look by wearing this unique western wear collection from the house of Zink London. Made to accentuate any body type, it will give you that extra oomph and make you stand out wherever you go wearing this. The product material is also sure to keep you comfortable throughout the day. Club it with contrasting pumps and minimal fashion accessories, and of course, don't forget to wear your pretty smile!",Zink London Women's Pencil Skirt (Sk00017_Multi_Large),787,https://images-na.ssl-images-amazon.com/images/I/41ZgG6DehaL.jpg,zink,Clothing,Women,713,74,https://www.amazon.in/dp/B06W9NPC7C
25,1968,B07J34V828,"Put an elegant look by wearing this unique western wear collection from the house of Zink London. Made to accentuate any body type, it will give you that extra oomph and make you stand out wherever you go wearing this. The product material is also sure to keep you comfortable throughout the day. Club it with contrasting pumps and minimal fashion accessories, and of course, don't forget to wear your pretty smile!",Zink London Beige Polyester Elastene Soild Shorts for Women,697,https://images-na.ssl-images-amazon.com/images/I/71IGB8j2czL._UL1500_.jpg,zink,Clothing,Women,487,210,https://www.amazon.in/dp/B07J34V828
26,2026,B079SBGCP3,"Put an elegant look by wearing this unique western wear collection from the house of Zink London. Made to accentuate any body type, it will give you that extra oomph and make you stand out wherever you go wearing this. The product material is also sure to keep you comfortable throughout the day. Club it with contrasting pumps and minimal fashion accessories, and of course, don't forget to wear your pretty smile!",Zink London White Circular Floral Skirt for Women,787,https://images-na.ssl-images-amazon.com/images/I/81onV1rj5AL._UL1500_.jpg,zink,Clothing,Women,431,356,https://www.amazon.in/dp/B079SBGCP3
27,3099,B07MF7KDXS,Flying Machine has a knack in producing quality staples since its inception. This merchandise is perfect piece that defines the new cool Flying Machine.,Flying Machine Women's Skinny Fit Jeans,1999,https://images-na.ssl-images-amazon.com/images/I/81TQbXunhiL._UL1500_.jpg,Flying Machine,Clothing,Women,1525,474,https://www.amazon.in/dp/B07MF7KDXS
28,3156,B07M6XS6HV,Flying Machine has a knack in producing quality staples since its inception. This merchandise is perfect piece that defines the new cool Flying Machine.,Flying Machine Women's Skinny Fit Jeans,1799,https://images-na.ssl-images-amazon.com/images/I/81yMhurW6iL._UL1500_.jpg,Flying Machine,Clothing,Women,1012,787,https://www.amazon.in/dp/B07M6XS6HV
29,3615,B07MHTN4L2,Flying Machine has a knack in producing quality staples since its inception. This merchandise is perfect piece that defines the new cool Flying Machine.,Flying Machine Women's Jeggings Jeans,1499,https://images-na.ssl-images-amazon.com/images/I/71-sYJ6EdXL._UL1500_.jpg,Flying Machine,Clothing,Women,565,934,https://www.amazon.in/dp/B07MHTN4L2
30,5977,B07FYVY58N,"Your ultimate look-amazing styles with innovative stretch denim designed to flatters, hold and lift all day, every day. No matter your body type, these jeans will look great on you. Close through the hip and thigh with a classic skinny leg and a flattering mid-rise.",Levi's Women's Skinny Jeans,1924,https://images-na.ssl-images-amazon.com/images/I/91H0a4Ina8L._UL1500_.jpg,Levis,Clothing,Women,1701,223,https://www.amazon.in/dp/B07FYVY58N
31,7316,B0794PR16X,"Our signature ""Lot 700"" fits are the ultimate look-amazing jeans; designed to flatter; hold and lift — all day; every day. Women everywhere have fallen in love with the 711 Skinny Jean — now it's your turn. This is your go-to skinny jean; cut with a figure-hugging fit and chic silhouette.",Levi's Women's Skinny Fit Jeans,1539,https://images-na.ssl-images-amazon.com/images/I/51i5HQOlUqL._UL1000_.jpg,Levis,Clothing,Women,764,775,https://www.amazon.in/dp/B0794PR16X
32,7566,B07FYB2C53,"The Levi's Red loop collection represents the dynamic and evolving face of jeans wear. Our signature lot 700 fits are the ultimate look-amazing jeans, designed to flatter, hold and lift all day, every day. Women everywhere have fallen in love with the 711 skinny jeans now it's your turn. This is your go-to skinny jean, cut with a figure-hugging fit and chic silhouette.",Levi's Women's Skinny Jeans,2254,https://images-na.ssl-images-amazon.com/images/I/816ESk8nSDL._UL1500_.jpg,Levis,Clothing,Women,871,1383,https://www.amazon.in/dp/B07FYB2C53
33,8654,B07P9VVXCL,"Symbol women is a one-stop shop for casual bottoms. We embrace latest trends and style to offer a range of understated elegant products. It's all about the subtle details too, with quality finishes.",Amazon Brand - Symbol Women's Pants,539,https://images-na.ssl-images-amazon.com/images/I/71Ep-xwlgWL._UL1500_.jpg,Symbol,Clothing,Women,460,79,https://www.amazon.in/dp/B07P9VVXCL
