Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,id,pti,category2
0,30,2.742220512,Women
1,439,0.220821662,Women
2,523,0.893118212,Women
3,850,0.370937761,Women
4,1010,0.166666667,Women
5,1341,0.483291562,Women
6,1454,0.182186235,Women
7,1560,0.355513784,Women
8,2004,0.126923077,Women
9,2157,0.227777778,Women
10,2432,0.100250627,Women
11,4322,0.283187135,Women
12,4398,0.047619048,Women
13,4492,0.28774179,Women
14,4780,0.1,Women
15,4781,0.158187135,Women
16,5084,0.158730159,Women
17,5143,0.86898534,Women
18,7878,0.692166691,Women
19,960,0.195238095,Women
20,1532,0.05,Women
21,1690,0.343859649,Women
22,2990,0.23358396,Women
23,6931,0,Women
24,1396,0.676043049,Women
25,1968,0.152631579,Women
26,2026,0.105555556,Women
27,3099,0.574206349,Women
28,3156,0,Women
29,3615,0.25,Women
30,5977,0.335110211,Women
31,7316,0.160818713,Women
32,7566,0.206349206,Women
33,8654,0.121323529,Women
34,9115,0.173109244,Women
35,9211,0.318942577,Women
36,9364,0.108187135,Women
37,11895,0,Women
38,12014,0.209074156,Women
39,12249,0.168055556,Women
40,12411,0.258730159,Women
41,12691,0.217647059,Women
42,12694,0.24259768,Women
43,13030,0.217010664,Women
44,13983,0.105263158,Women
45,15470,0.167763158,Women
46,15529,0.125490196,Women
47,15587,0.111455108,Women
48,15635,0.222222222,Women
49,15695,0.173611111,Men
50,15705,0.343137255,Men
51,15763,0.279323308,Men
52,15843,1.555387621,Men
53,18777,0.1125,Men
54,18839,0.156442577,Men
55,19139,0.221929825,Men
56,216,1.107811195,Men
57,349,0.147619048,Men
58,837,0.211361738,Men
59,11767,0.418421053,Men
60,11776,0.247619048,Men
61,12224,0.047619048,Men
62,12809,0.176691729,Men
63,12869,0.102631579,Men
64,12927,0.18907563,Men
65,12986,0.058823529,Men
66,13044,0.152882206,Men
67,13064,0.168055556,Men
68,13122,0.366374269,Men
69,17746,0.210818713,Men
70,18461,0.270091896,Men
71,18519,0.442616959,Men
72,20468,0.152631579,Men
73,20539,0.156442577,Men
74,20638,0.318556809,Men
75,20700,0,Men
76,21029,0.160818713,Men
77,1449,0.456246385,Men
78,1872,0.250501253,Men
79,2034,0.848265271,Men
80,2117,0.325541796,Men
81,6188,0.110119048,Men
82,6248,0.300501253,Men
83,6253,0.275740823,Men
84,6309,0.327192982,Men
85,6371,0.487061404,Men
86,6427,0.510202968,Men
87,6483,0.379805282,Men
